Statistics for GP initial appoximation
GP	        vct	         dx	         dy	         dz
133	      0.002	     -0.017	     -0.027	     -0.038
134	      0.000	     -0.008	     -0.011	     -0.004
135	      0.000	     -0.006	     -0.008	     -0.003
136	      0.000	     -0.006	     -0.009	     -0.003
137	      0.000	     -0.000	     -0.000	     -0.000
138	      0.000	     -0.005	     -0.007	     -0.002
139	      0.001	     -0.015	     -0.021	     -0.009
140	      0.001	     -0.015	     -0.021	     -0.009
141	      0.000	     -0.007	     -0.010	     -0.003
142	      0.000	     -0.007	     -0.010	     -0.004
143	      0.010	     -0.014	     -0.031	     -0.093
144	      0.000	     -0.007	     -0.010	     -0.003
145	      0.010	     -0.037	     -0.059	     -0.072
146	      0.010	     -0.037	     -0.059	     -0.073
147	      0.036	      0.112	      0.146	     -0.042
148	      0.001	     -0.017	     -0.024	     -0.011
149	      0.004	      0.033	      0.046	      0.020
150	      0.000	     -0.012	     -0.017	     -0.006
151	      0.000	     -0.011	     -0.015	     -0.005
152	      0.001	     -0.014	     -0.020	     -0.009
153	      0.000	     -0.010	     -0.014	     -0.005
154	      0.019	     -0.047	     -0.076	     -0.104
155	      0.002	     -0.018	     -0.026	     -0.028
156	      0.002	     -0.019	     -0.027	     -0.029
157	      0.003	     -0.027	     -0.036	     -0.027
158	      0.002	     -0.018	     -0.026	     -0.030
159	      0.004	     -0.033	     -0.044	     -0.029
160	      0.003	     -0.025	     -0.034	     -0.028
161	      0.003	     -0.022	     -0.031	     -0.034
162	      0.003	     -0.028	     -0.037	     -0.023
163	      0.003	     -0.031	     -0.041	     -0.027
164	      3.245	      0.062	      0.059	     -1.799
165	      3.245	      0.062	      0.059	     -1.799
166	      0.003	     -0.026	     -0.031	     -0.041
167	      0.003	     -0.026	     -0.031	     -0.041
168	      0.223	      0.254	      0.304	      0.259
169	      0.005	     -0.025	     -0.033	     -0.061
170	      0.005	     -0.030	     -0.036	     -0.049
171	      1.522	     -0.221	     -0.263	     -1.185
172	      0.011	     -0.033	     -0.042	     -0.092
173	      0.010	     -0.031	     -0.039	     -0.087
174	      0.007	     -0.027	     -0.033	     -0.070
175	      0.005	     -0.024	     -0.030	     -0.062
176	      0.018	     -0.058	     -0.064	     -0.102
177	     21.489	      0.189	      2.409	      3.956
178	      0.012	     -0.034	     -0.044	     -0.092
179	      0.011	     -0.033	     -0.042	     -0.088
180	      0.199	      0.073	      0.000	     -0.440
181	      0.016	     -0.057	     -0.064	     -0.095
182	      0.017	     -0.045	     -0.053	     -0.109
183	      6.458	     -0.334	     -0.219	     -2.510
184	      6.458	     -0.334	     -0.219	     -2.510
185	      0.018	     -0.046	     -0.054	     -0.112
186	      0.007	     -0.026	     -0.032	     -0.071
187	      0.006	     -0.036	     -0.038	     -0.060
188	      0.384	     -0.099	     -0.112	     -0.601
189	     86.050	      0.571	      4.567	     -8.054
190	     41.837	     -0.826	      1.284	     -6.285
191	     10.764	      0.013	      0.234	     -3.273
192	     28.403	     -0.088	      2.107	      4.894
193	      0.777	     -0.197	     -0.149	     -0.846
194	      0.777	     -0.197	     -0.149	     -0.846
195	     74.943	      3.687	      6.250	      4.721
196	     17.661	      3.015	      2.468	      1.574
197	      0.014	     -0.051	     -0.037	     -0.103
198	      2.002	      0.327	      0.428	      1.308
199	      0.014	     -0.052	     -0.037	     -0.102
200	     45.853	      0.187	      3.280	      5.921
201	      2.112	      0.289	      0.422	      1.360
202	    176.112	     -0.227	     11.074	      7.309
203	    114.734	      5.081	      9.426	     -0.238
204	     57.028	      1.146	      4.654	      5.836
205	     14.344	      0.348	      0.584	     -3.726
206	     22.382	     -1.960	     -0.258	     -4.298
207	      2.445	      0.480	      0.594	      1.365
208	      0.024	     -0.047	     -0.042	     -0.140
209	    111.772	      4.299	      8.946	     -3.640
210	      0.094	      0.048	      0.081	      0.291
211	      1.794	      0.388	      0.545	      1.160
212	      1.794	      0.388	      0.545	      1.160
213	     92.850	     -1.253	      6.444	      7.054
214	    131.341	      3.528	     10.865	     -0.922
215	    131.341	      3.528	     10.865	     -0.922
216	      0.009	     -0.043	     -0.039	     -0.074
217	      0.008	     -0.039	     -0.036	     -0.074
218	     15.294	      1.275	      2.318	      2.880
219	      0.007	     -0.037	     -0.034	     -0.070
220	      0.011	     -0.047	     -0.042	     -0.081
221	      0.313	      0.108	      0.169	      0.522
222	      1.644	     -0.267	     -0.257	     -1.227
223	      8.016	     -0.552	     -0.215	     -2.769
224	      8.016	     -0.552	     -0.215	     -2.769
225	      0.008	     -0.041	     -0.041	     -0.068
226	      0.008	     -0.041	     -0.041	     -0.068
227	      0.034	     -0.075	     -0.077	     -0.150
228	      0.497	      0.073	      0.249	      0.655
229	      0.010	     -0.034	     -0.049	     -0.082
230	      0.858	     -0.177	     -0.272	     -0.868
231	     18.478	      1.047	      1.902	     -3.710
232	      0.800	     -0.174	     -0.268	     -0.835
233	      0.008	     -0.030	     -0.056	     -0.064
234	      0.006	     -0.028	     -0.050	     -0.051
235	      0.007	     -0.031	     -0.054	     -0.055
236	      0.006	     -0.028	     -0.049	     -0.050
237	      0.001	     -0.014	     -0.020	     -0.006
238	      0.001	     -0.012	     -0.018	     -0.010
239	      0.002	     -0.016	     -0.035	     -0.015
240	      0.002	     -0.016	     -0.034	     -0.015
241	      0.002	      0.022	      0.036	     -0.011
242	      0.000	     -0.003	     -0.009	     -0.011
243	      0.003	      0.028	      0.046	     -0.016
244	      0.000	     -0.003	     -0.011	     -0.012
245	      0.000	     -0.003	     -0.010	     -0.012
246	      0.001	     -0.005	     -0.015	     -0.016
247	      0.002	      0.009	      0.037	      0.025
248	      0.002	      0.009	      0.037	      0.025
249	      0.002	      0.009	      0.037	      0.025
250	      0.002	      0.009	      0.037	      0.025
251	      0.034	      0.058	      0.102	     -0.142
252	      0.006	      0.022	      0.070	      0.017
253	      0.000	      0.001	      0.007	      0.010
254	      0.004	      0.017	      0.057	      0.018
255	      0.000	      0.000	      0.001	      0.002
256	      0.005	      0.019	      0.064	      0.016
257	      0.005	      0.020	      0.065	      0.015
258	      0.009	      0.029	      0.089	      0.012
259	      0.003	      0.016	      0.052	      0.014
260	      0.009	      0.023	      0.082	     -0.041
261	      0.010	      0.024	      0.086	     -0.040
262	      0.008	      0.022	      0.080	     -0.039
263	      0.011	      0.026	      0.093	     -0.046
264	      0.020	      0.034	      0.107	     -0.085
265	      0.021	      0.035	      0.110	     -0.088
266	      0.009	      0.023	      0.082	     -0.038
267	      0.010	      0.024	      0.083	     -0.046
268	      0.019	      0.034	      0.109	     -0.078
269	      0.023	      0.037	      0.113	     -0.094
270	      0.017	      0.020	      0.098	     -0.086
271	      0.045	     -0.036	     -0.050	      0.204
272	      0.017	      0.020	      0.096	     -0.084
273	      0.019	      0.022	      0.104	     -0.091
274	      0.018	      0.021	      0.101	     -0.086
275	      0.025	      0.024	      0.047	     -0.148
276	      0.025	      0.024	      0.047	     -0.148
277	     57.230	     -2.331	     -6.537	     -3.012
278	     51.651	     -1.662	     -2.536	     -6.516
279	     63.950	     -3.169	     -7.250	      1.161
280	      0.027	      0.014	      0.101	     -0.128
281	     30.461	     -0.474	     -3.426	     -4.301
282	     56.344	     -1.599	     -7.305	     -0.657
283	     24.628	     -0.388	     -1.146	     -4.813
284	     47.581	     -1.510	     -6.613	      1.252
285	    179.120	     -1.980	     -4.243	    -12.538
286	    748.490	    -10.085	    -22.816	    -11.235
287	    748.490	    -10.085	    -22.816	    -11.235
288	    338.333	     -2.561	    -18.212	     -0.295
289	      3.598	      0.013	     -0.792	      1.723
290	    167.444	     -2.577	      0.100	    -12.680
291	    122.497	     -1.803	     -1.264	    -10.847
292	    122.497	     -1.803	     -1.264	    -10.847
293	    271.360	     -7.098	    -12.826	     -7.516
294	      4.966	     -0.420	     -2.041	      0.791
295	      0.979	      0.200	      0.690	     -0.680
296	    119.510	     -3.556	     -6.685	     -7.886
297	      4.961	     -0.139	      1.204	      1.869
298	      4.961	     -0.139	      1.204	      1.869
299	      0.052	      0.051	      0.163	     -0.152
300	      0.098	      0.098	      0.217	     -0.203
301	      0.033	      0.052	      0.172	      0.017
302	      0.033	      0.052	      0.172	      0.017
303	      0.004	      0.015	      0.057	      0.024
304	      0.038	      0.058	      0.187	      0.014
305	      0.027	      0.047	      0.156	      0.022
306	    114.590	     -4.893	     -5.559	     -7.730
307	      0.029	     -0.052	     -0.139	     -0.084
308	     93.554	     -2.740	     -2.880	     -8.818
309	      6.132	     -0.301	     -1.074	     -2.211
310	      0.704	      0.376	      0.725	      0.190
311	      0.704	      0.376	      0.725	      0.190
312	     51.120	     -1.205	     -1.648	     -6.852
313	    122.146	     -2.111	     -0.635	    -10.830
314	    122.146	     -2.111	     -0.635	    -10.830
315	      0.000	      0.004	      0.013	      0.016
316	    129.683	     -2.338	     -0.628	    -11.127
317	     99.018	     -2.594	     -1.889	     -9.419
318	    213.102	     -8.027	     -4.176	    -11.456
319	      0.003	     -0.018	     -0.037	     -0.037
320	      0.000	     -0.005	     -0.008	     -0.008
321	     36.362	     -1.185	     -1.471	     -5.727
322	      4.029	     -0.224	     -0.665	     -1.881
323	      0.001	     -0.010	     -0.016	     -0.016
324	      9.290	     -0.455	     -0.985	     -2.848
325	      0.303	      0.128	      0.256	      0.470
326	      0.303	      0.128	      0.256	      0.470
327	     17.653	      1.901	      3.018	      2.220
328	      0.002	     -0.019	     -0.026	     -0.030
329	      0.771	     -0.179	     -0.345	     -0.787
330	      4.216	     -0.245	     -0.575	     -1.956
331	      1.764	     -0.073	     -0.333	     -1.284
332	     69.818	     -1.518	     -0.872	     -8.170
333	      0.007	     -0.034	     -0.046	     -0.057
334	    186.873	      4.775	     12.604	      2.284
335	    186.873	      4.775	     12.604	      2.284
336	    138.578	      1.328	      3.881	    -11.034
337	     30.090	      0.332	      2.713	      4.756
338	    187.198	      0.277	      9.935	      9.403
339	     30.420	      0.404	      2.722	      4.780
340	    532.977	      1.452	     18.023	    -14.355
341	    408.472	      3.929	     16.789	    -10.543
342	     34.853	      0.227	      2.808	      5.188
343	     77.545	      3.198	      6.378	      5.162
344	    160.009	      1.151	      7.788	      9.901
345	     95.280	      3.045	      6.949	      6.141
346	     92.744	     -0.197	      0.743	     -9.600
347	     59.917	      3.022	      6.018	      3.816
348	     27.241	      0.379	      0.209	     -5.201
349	      8.481	     -0.809	     -1.141	     -2.554
350	     30.688	      3.021	      4.513	      1.094
351	     78.824	      3.694	      7.910	      1.616
352	    161.034	     -1.780	      0.586	    -12.551
353	     25.826	     -0.608	     -1.004	     -4.944
354	    211.294	     -5.092	     -2.030	    -13.463
355	    211.294	     -5.092	     -2.030	    -13.463
356	      2.113	      0.522	      1.070	      0.834
357	     11.196	      1.140	      2.592	      1.783
358	     42.424	     -1.053	     -1.487	     -6.253
359	     24.169	     -1.189	     -1.923	     -4.366
360	     15.041	     -0.256	     -0.808	     -3.785
361	      0.000	      0.004	      0.010	      0.015
362	      3.125	     -0.182	     -0.626	     -1.643
363	     62.434	     -1.294	     -1.535	     -7.642
364	     28.535	     -0.886	     -1.963	     -4.888
365	     16.875	      0.673	      3.207	      2.477
366	      0.014	      0.038	      0.100	      0.047
367	    284.811	     -5.878	     -2.449	    -15.629
368	    284.811	     -5.878	     -2.449	    -15.629
369	      0.005	     -0.021	     -0.064	      0.005
370	      0.014	      0.023	      0.099	      0.058
371	      0.054	      0.068	      0.223	      0.007
372	      0.069	      0.081	      0.247	     -0.037
373	      0.061	      0.072	      0.235	      0.002
374	      0.046	      0.061	      0.204	      0.018
375	     90.889	     -1.495	     -3.001	     -8.925
376	    248.603	     -3.439	     -0.342	    -15.384
377	     35.920	     -1.291	     -4.434	     -3.820
378	    517.905	     -8.587	     -0.897	    -21.056
379	    112.887	     -2.925	     -8.554	     -5.582
380	    218.607	     -3.484	     -3.374	    -13.967
381	     56.055	     -0.937	     -3.381	     -6.614
382	     10.210	     -0.169	      2.054	      2.442
383	      4.634	      0.262	      0.283	     -2.118
384	    102.376	     -3.625	     -6.806	     -6.551
385	     37.927	     -0.484	     -1.294	     -6.002
386	     73.006	     -1.325	     -2.353	     -8.106
387	    111.153	     -2.493	     -3.914	     -9.467
388	    182.573	     -3.143	     -2.355	    -12.929
389	     32.486	     -2.225	     -4.808	     -2.101
390	     13.494	     -0.151	     -0.891	     -3.561
391	    263.571	     -3.173	      1.255	    -15.872
392	    434.434	     -6.916	      0.998	    -19.637
393	     91.771	     -1.499	     -1.550	     -9.334
394	    280.060	     -3.751	      1.326	    -16.255
395	     51.173	     -1.168	     -2.206	     -6.704
396	      9.347	     -1.052	     -2.436	     -1.519
397	     71.735	     -1.154	     -1.182	     -8.307
398	      0.121	      0.132	      0.268	     -0.177
399	      0.125	      0.137	      0.289	     -0.150
400	    115.596	     -3.802	     -4.257	     -9.112
401	     68.508	     -1.364	     -1.452	     -8.034
402	    103.646	     -2.251	     -1.942	     -9.737
403	      0.158	      0.162	      0.262	     -0.251
